CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O 4740
CNC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@@H](C)NC(=O)C[C@H](NC(=O)C[C@H](NC(=O)[C@H](Cc2ccccc2)N(C)C1=O)C(O)=O)C(O)=O 449124
CC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@H](CCCC(O)=O)NC(=O)[C@H](Cc2cnc[nH]2)N2[C@H](O)C[C@H](NC(=O)[C@H]3CCCN3C1=O)C2=O 449123
Cc1ccc(CNS(=O)(=O)c2ccc(s2)S(N)(=O)=O)cc1 444607
COc1ccc(CNS(=O)(=O)c2ccc(s2)S(N)(=O)=O)cc1 4316
NS(=O)(=O)c1ccc(s1)S(=O)(=O)NCc1cccs1 4293
NS(=O)(=O)c1cc2C(O)CN(Cc3cccs3)S(=O)(=O)c2s1 1611
COc1ccc(cc1)N1CC(O)c2cc(sc2S1(=O)=O)S(N)(=O)=O 1612
CCN[C@H]1CN(CCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O 4369102
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O 68844
COc1cccc(c1)N1CCc2cc(sc2S1(=O)=O)S(N)(=O)=O 1604
CN[C@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(cc12)S(N)(=O)=O 3013848
CN[C@@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(cc12)S(N)(=O)=O 4369101
COc1cccc(c1)N1C=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O 1514
NS(=O)(=O)c1ccccc1 7370
NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(CN(CC([O-])=O)CC([O-])=O)cc2)cc1 91895866
NS(=O)(=O)c1ccc(CCNC(=O)c2cccc(NC(=O)CN(CC([O-])=O)CC([O-])=O)c2)cc1 91895867
NS(=O)(=O)c1ccc(cc1)C(=O)NCCOCCOCCN(CC([O-])=O)CC([O-])=O 91895868
NS(=O)(=O)c1ccc(cc1)C(=O)NCCN(CC([O-])=O)CC([O-])=O 91895869
NS(=O)(=O)Oc1ccc2c3CCCCCc3c(=O)oc2c1 5287541
Cn1nc(cc1NC(=O)Nc1ccc(Cl)cc1)C(C)(C)C 446816
Fc1ccc(cc1)-c1nc2SCCn2c1-c1ccncc1 5228
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C 156422
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)CO 10209208
Cn1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C 10114928
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccccc1)C(C)(C)C 10871761
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1cccc2ccccc12)C(C)(C)C 23646852
CC(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1 10185343
CC(C)(C)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1 9892658
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCc2ccncc2)c2ccccc12)C(C)(C)C 10229750
CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccc(F)cc1)-c1ccncc1 176155
O=C(Nc1ccnn1-c1ccccc1)Nc1ccc(OCCN2CCOCC2)c2ccccc12 10863432
CC1(CCCCC1)c1cc(NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)n(n1)-c1ccccc1 10231102
