SMILES,Name,ClusterNumber
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@@H](N)CCC[N+](C)(C)C)CC5)CCCC4)c3Cl)c2n1,11600324,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)C[C@@H](N)CCC[N+](C)(C)C)CC5)CCCC4)c3Cl)c2n1,9897921,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)C[C@H](CCCN)[N+](C)(C)C)CC5)CCCC4)c3Cl)c2n1,16105690,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@@H](N)CCCCN=C(N)N)CC5)CCCC4)c3Cl)c2n1,10373970,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@@H](N)CCC[N+](C)(C)C)CC5)CCSCC4)c3Cl)c2n1,16105746,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@@H](N)CCCCN(C)C)CC5)CCCC4)c3Cl)c2n1,9988753,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=N)NCCC[N+](C)(C)C)CC5)CCCC4)c3Cl)c2n1,10441167,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@@H](N)CCC[N+](C)(C)C)CC5)CCNCC4)c3Cl)c2n1,16105701,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)CCCC[N+](C)(C)C)CC5)CCCC4)c3Cl)c2n1,16105694,1
CC(=O)N1CCC(NS(=O)(=O)c2ccc(Cl)c(COc3cccc4c(C)cc(C)nc34)c2Cl)(C(=O)N2CCN(C(=O)[C@@H](N)CCC[N+](C)(C)C)CC2)CC1,16105751,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@H](CCCCN)[N+](C)(C)C)CC5)CCCC4)c3Cl)c2n1,10102701,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)CCCCC[N+](C)(C)C)CC5)CCCC4)c3Cl)c2n1,10350966,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@H](CCCN)[N+](C)(C)C)CC5)CCCC4)c3Cl)c2n1,16105698,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@H](CCCCN=C(N)N)[N+](C)(C)C)CC5)CCCC4)c3Cl)c2n1,16105734,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@@H](N)CCCC[N+](C)(C)C)CC5)CCCC4)c3Cl)c2n1,16105729,1
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@H](CCC[N+](C)(C)C)[N+](C)(C)C)CC5)CCCC4)c3Cl)c2n1,16105696,1
