id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
MTOR	0	1	2549	1	100	100%
LRRK2	1	2	2527	1	100	100%
LRRK2(G2019S)	1	2	2527	0	100.00%	100%
ROS1	2	1	2347	1	100	100%
CIT	3	1	2027	1	100	100%
TRPM6	4	1	2022	1	100	100%
MYLK	5	2	1914	1	100	100%
MYLK4	5	2	388	0	42.27%	20%
MRCKA	6	3	1732	1	100	100%
MRCKB	6	3	1711	0	61.02%	98%
DMPK	6	3	629	0	45.79%	36%
GCN2(KinDom2S808G)	7	1	1649	1	100	100%
PIK3C2B	8	1	1634	1	100	100%
ALK	9	2	1620	1	100	100%
LTK	9	2	864	0	55.32%	53%
MYO3A	10	2	1616	1	100	100%
MYO3B	10	2	1341	0	56.08%	82%
MAP3K4	11	1	1608	1	100	100%
MAST1	12	1	1570	1	100	100%
DMPK2	13	1	1551	1	100	100%
MAP3K1	14	1	1512	1	100	100%
PIK3C2G	15	1	1445	1	100	100%
DAPK1	16	4	1430	1	100	100%
DAPK3	16	4	454	0	55.29%	31%
DRAK2	16	4	372	0	40.05%	26%
DAPK2	16	4	370	0	65.95%	25%
MST1R	17	1	1400	1	100	100%
MET	18	3	1390	1	100	100%
MET(M1250T)	18	3	1390	0	100.00%	100%
MET(Y1235D)	18	3	1390	0	100.00%	100%
INSR	19	2	1382	1	100	100%
IGF1R	19	2	1367	0	49.74%	98%
ASK1	20	3	1374	1	100	100%
MAP3K15	20	3	1313	0	56.51%	95%
ASK2	20	3	1288	0	45.34%	93%
FLT4	21	2	1363	1	100	100%
VEGFR2	21	2	1356	0	44.54%	99%
TNIK	22	3	1360	1	100	100%
MINK	22	3	1332	0	43.47%	97%
MAP4K4	22	3	1273	0	43.44%	93%
ROCK1	23	2	1354	1	100	100%
ROCK2	23	2	703	0	59.89%	51%
ERBB3	24	15	1342	1	100	100%
ERBB4	24	15	1308	0	49.31%	97%
ERBB2	24	15	1255	0	41.99%	93%
EGFR	24	15	1210	0	42.31%	90%
EGFR(E746A750del)	24	15	1210	0	42.31%	90%
EGFR(G719C)	24	15	1210	0	42.31%	90%
EGFR(G719S)	24	15	1210	0	42.31%	90%
EGFR(L747E749del)	24	15	1210	0	42.31%	90%
EGFR(L747S752del)	24	15	1210	0	42.31%	90%
EGFR(L747T751del)	24	15	1210	0	42.31%	90%
EGFR(L858R)	24	15	1210	0	42.31%	90%
EGFR(L858RT790M)	24	15	1210	0	42.31%	90%
EGFR(L861Q)	24	15	1210	0	42.31%	90%
EGFR(S752I759del)	24	15	1210	0	42.31%	90%
EGFR(T790M)	24	15	1210	0	42.31%	90%
FLT1	25	1	1338	1	100	100%
YSK4	26	1	1328	1	100	100%
STK36	27	1	1315	1	100	100%
GAK	28	1	1311	1	100	100%
INSRR	29	1	1297	1	100	100%
QSK	30	1	1263	1	100	100%
NEK1	31	1	1258	1	100	100%
